"","Orbi_num","Station","CTD","Depth","Long","Lat","Day","Time","Phos","Nitr","Chl","Chla","Phaeo","diSi","biSi","Temp","Sal","Density","NormPAR"
"14","Orbi_1316","4","8","14.709","122.338667","36.455167","3","7.5","0.382843","7.651171","10.586166111143","10.4736385898033","0.21828815922116","7.55607953256886","4.56927449383847","12.1717","33.7996","25.6246","0.0028524"
"15","Orbi_1233","4","8","30.079","122.338667","36.455167","3","7.5","1.234875","18.009198","1.32237484597555","0.887596490661292","0.843411155962296","19.3269559389707","0.696590961516114","10.5453","33.8021","25.9237","0.00010388"
"16","Orbi_1288","4","8","39.652","122.338667","36.455167","3","7.5","1.016398","15.017976","1.05180532270502","0.644833154794982","0.791841119844043","20.6165399135169","0.46165764736732","10.322","33.8059","25.9654","2.5023e-05"
"17","Orbi_1254","6","12","3.418","123.493667","36.710167","4","7.54999999999999","0.363795","3.856693","0.940250212721157","0.754126909844979","0.362137994191098","6.48868332455441","1.24242065178474","14.4362","33.5458","24.972","0.43401"
"18","Orbi_1242","6","12","6.451","123.493667","36.710167","4","7.54999999999999","0.358119","4.223527","0.861290917840199","0.649244614988803","0.413090645669438","6.27453861241007","1.21796687118368","14.437","33.5462","24.9722","0.23307"
"19","Orbi_1275","6","12","10.998","123.493667","36.710167","4","7.54999999999999","0.376992","4.463009","1.13679969221654","1.01643192196497","0.234198202001374","6.31726594382352","1.14361406324498","14.4328","33.5435","24.9712","0.10043"
"20","Orbi_1285","6","12","21.013","123.493667","36.710167","4","7.54999999999999","0.454037","5.455618","1.06242961889396","0.885279415904975","0.344679135764406","7.05148493934885","1.06963894537548","14.3929","33.5448","24.981","0.028278"
"21","Orbi_1296","6","12","34.23","123.493667","36.710167","4","7.54999999999999","0.784174","11.666556","1.63415428120556","1.29810986759214","0.651880674086239","13.8232116014936","0.271476689448391","11.6864","33.5205","25.4995","0.0043314"
"22","Orbi_1290","6","12","50.549","123.493667","36.710167","4","7.54999999999999","1.170619","17.337861","0.267560788086452","0.128801754263908","0.270318596002086","23.2793533752546","0.190834888418495","9.1426","33.6595","26.0467","0.00081797"
"23","Orbi_1309","7","15","2.501","123.632667","37.557","5","7.58333333333333","0.115546","1.569416","7.81621665576623","3.92769315880837","7.54320921791348","1.64415565572383","7.63177581421011","11.7784","33.53","25.489","0.43534"
"24","Orbi_1238","7","15","5.096","123.632667","37.557","5","7.58333333333333","0.106385","1.070933","8.16104974352062","4.03313458589047","8.00759663459941","1.50953803289925","8.73342290713867","11.7798","33.5295","25.4885","0.12171"
"25","Orbi_1253","7","15","8.331","123.632667","37.557","5","7.58333333333333","0.097346","1.758568","7.57355633475388","3.4532067369389","7.99292047266259","1.88517163011418","8.42498724315523","11.7725","33.5274","25.4882","0.028696"
"26","Orbi_1232","7","15","13.536","123.632667","37.557","5","7.58333333333333","0.267658","4.29026","7.34366760958429","4.27037779682521","5.96176622387916","3.44441036140182","8.44826700410214","11.6624","33.5375","25.5167","0.0046274"
"27","Orbi_1237","7","15","19.816","123.632667","37.557","5","7.58333333333333","0.496238","7.942785","5.40417687732014","2.91427514433791","4.83007231886963","9.86500398888337","6.27766201946599","11.4559","33.5879","25.594","0.00079137"
"28","Orbi_1241","7","15","30.076","123.632667","37.557","5","7.58333333333333","1.062299","19.229178","1.01462028604373","0.568327526259984","0.868346748379041","27.7328069004836","1.63479825188742","9.2851","33.7965","26.1307","8.9427e-05"
"29","Orbi_1271","8","19","3.205","123.099167","38.149333","6","7.60000000000001","0.090415","0.043213","13.5889779766916","7.17001704158306","12.4519153177338","0.468862150976771","16.8793363434849","12.0428","33.7439","25.6056","0.2769"
"30","Orbi_1297","8","19","4.129","123.099167","38.149333","6","7.60000000000001","0.104495","0.097663","15.4025445863629","9.99057521602934","10.4984879924997","0.800036645326077","17.1457472788269","12.0431","33.7415","25.6037","0.21265"
"31","Orbi_1236","8","19","6.962","123.099167","38.149333","6","7.60000000000001","0.30741","2.742107","11.8775841337624","7.59178274991148","8.31387454135294","7.95215890688103","15.3787201776297","11.3403","33.7675","25.7543","0.032164"
"32","Orbi_1287","8","19","11.1","123.099167","38.149333","6","7.60000000000001","0.752135","10.753808","7.56078473891112","5.56203527858098","3.8773033942722","17.8829144528842","7.36481285655924","10.3732","33.8056","25.9559","0.0040907"
"33","Orbi_1266","8","19","13.76","123.099167","38.149333","6","7.60000000000001","1.204421","16.573207","4.57993239337874","2.52964999838468","3.97727031181483","23.3752271499785","5.10153361604286","9.8933","33.833","26.0589","0.0016938"
"34","Orbi_1283","8","19","19.551","123.099167","38.149333","6","7.60000000000001","1.233467","20.314742","2.1448274940823","1.18716030625948","1.85774471069286","28.5641664763691","2.98576145098451","9.3467","33.8568","26.1677","0.00026202"
"35","Orbi_1245","9","23","3.155","123.968667","38.264833","7","7.76666666666666","0.213045","0.05399","0.38019113888094","0.300537426615785","0.155174615105835","3.40126708944833","0.235098534046887","14.5945","32.8143","24.3742","0.96576"
"36","Orbi_1277","9","23","7.013","123.968667","38.264833","7","7.76666666666666","0.218752","0.129642","0.291004209518789","0.175924347287289","0.224188839670909","3.53571119647994","0.208383593768042","14.594","32.814","24.3742","0.46727"
"37","Orbi_1268","9","23","12.238","123.968667","38.264833","7","7.76666666666666","0.181622","0.069014","0.331265737630846","0.224094109044522","0.208782688756406","3.36832415148553","0.238696822851853","14.5959","32.8133","24.3734","0.26317"
"38","Orbi_1240","9","23","18.273","123.968667","38.264833","7","7.76666666666666","0.194968","0.075703","0.312409072565705","0.195820553230494","0.227127877648395","3.45835266488953","0.210149832819047","14.5966","32.8108","24.3715","0.16168"
"39","Orbi_1243","9","23","32.312","123.968667","38.264833","7","7.76666666666666","0.346853","3.210547","0.560603555990662","0.464942917830691","0.186357952255109","5.85647234896824","0.262298932788095","12.7957","32.9139","24.818","0.046537"
"40","Orbi_1263","9","23","55.955","123.968667","38.264833","7","7.76666666666666","0.656184","9.066487","0.693109851043","0.486933461241602","0.401655378280945","12.6390532939632","0.312541014326553","10.5225","33.1194","25.396","0.0065495"
"41","Orbi_1269","10","31","2.32","123.11","37.837333","8","7.51666666666666","0.076086","0.00723200000000002","4.7127188659767","2.57013478512628","4.15632308804862","0.481628279761661","~","12.7554","33.7037","25.437","0.52129"
"42","Orbi_1280","10","31","4.019","123.11","37.837333","8","7.51666666666666","0.049469","0.047016","5.50455780822753","2.95235995829891","4.9509183530926","0.519113535083984","4.60582868978918","12.8311","33.7023","25.4211","0.24784"
"43","Orbi_1234","10","31","5.723","123.11","37.837333","8","7.51666666666666","0.143336","0.091432","9.42543773195339","4.6657831483831","9.23308560613301","0.791467728327997","10.1710166106256","12.7534","33.6992","25.434","0.12499"
"44","Orbi_1284","10","31","10.227","123.11","37.837333","8","7.51666666666666","0.294891","1.95527","13.4868052099496","6.48464776554939","13.5832376019338","3.24289522308049","21.7007619774266","11.5819","33.7072","25.6634","0.018609"
"45","Orbi_1264","10","31","19.452","123.11","37.837333","8","7.51666666666666","0.727575","9.665927","8.99120347329971","4.40217958067784","8.90208516294988","11.3881330108815","12.3543322851367","10.9686","33.7463","25.8053","9.5701e-05"
"46","Orbi_1282","10","31","30.191","123.11","37.837333","8","7.51666666666666","1.109375","18.578364","1.77956961164739","0.87638476456314","1.75731648779345","25.1407664255201","2.9297818548611","9.4226","33.6822","26.0191","8.7514e-16"
"47","Orbi_1293","11","35","2.742","121.9805","36.777833","9","7.58333333333333","0.071112","0.592667","12.0124674355286","11.8346198754839","0.345000192325439","2.8467083831644","5.56273311892426","12.7773","33.8358","25.5351","0.76725"
"48","Orbi_1273","11","35","4.967","121.9805","36.777833","9","7.58333333333333","0.110925","3.229495","10.1274561374713","8.74282543301373","2.6859961374649","5.72529056872653","5.13141164817759","12.8012","33.8331","25.5284","0.30529"
"49","Orbi_1281","11","35","8.945","121.9805","36.777833","9","7.58333333333333","0.369964","7.756774","12.4998467825548","11.4943745540637","1.95048001850662","9.57310169563832","6.10520192115776","12.2952","33.8183","25.6153","0.07317"
"50","Orbi_1255","11","35","14.948","121.9805","36.777833","9","7.58333333333333","0.936094","18.253176","8.50046919960435","7.81084911781937","1.33776960891413","20.1793051645754","0.853760358735346","10.4755","33.8121","25.9433","0.010191"
"51","Orbi_1291","11","35","20.505","121.9805","36.777833","9","7.58333333333333","0.917273","17.62414","7.39669832545674","7.18953157435647","0.401875454209627","21.6415267713289","1.79829446068537","10.2633","33.8231","25.9886","0.0026052"
"52","Orbi_1276","11","35","29.951","121.9805","36.777833","9","7.58333333333333","1.277921","19.551091","3.21992899487543","2.86249868238267","0.693366423030847","24.9587822519778","9.00471721471653","10.0165","33.8362","26.041","0.00046462"
